product_id,description,legacy_balance,ledger_balance,stock_balance,delta_legacy_vs_ledger,delta_ledger_vs_cache,document_only_balance
7896003826005,CONJUNTO DE FIXAÇÃO ASSENTO SANITÁRIO,0.0,3.0,3.0,3.0,0.0,0.0
7897488008764,DESEMPENADEIRA DENTADA 49X12mm,0.0,3.0,3.0,3.0,0.0,0.0
7897613524527,DESEMPENADEIRA CORRUGADA 18X30mm,0.0,3.0,3.0,3.0,0.0,0.0
7898049961108,PAINEL EMBUTIDO DE PAREDE C/GRADE BRANCO 60W,0.0,3.0,3.0,3.0,0.0,0.0
7898258651081,FIO FLEXSÍVEL  2.5MM VERMELHO,-3.0,0.0,0.0,3.0,0.0,300.0
7898259251938,FIO FLEXSÍVEL 2.5MM VERDE,97.0,100.0,100.0,3.0,0.0,1000.0
7898542184028,MANGUEIRA  TRANÇADA 3/4,-3.0,0.0,0.0,3.0,0.0,150.0
7898600530507,LAMPADA AMBAR 6W PAR20,0.0,3.0,3.0,3.0,0.0,0.0
7899052577096,CAIXA DE PASSAGEM PAREDE EMBUTIDA,0.0,3.0,3.0,3.0,0.0,0.0
7899825505882,PAINEL EMBUTIDO QUADRADO 3W 3000K LUZ AMARELA,0.0,3.0,3.0,3.0,0.0,0.0
218818267472,BROCA 3/32'' AÇO RÁPIDO,0.0,2.0,2.0,2.0,0.0,3.0
602883234017,RALO ROTATIVO AÇO INOX 15X15,-1.0,1.0,1.0,2.0,0.0,0.0
7891114102970,ESCOVA CIRCULAR ARAME ONDULADO,0.0,2.0,2.0,2.0,0.0,0.0
7893946555702,GRAMPO TIPO SARGENTO DE APERTO RÁPIDO 24''POLEGADAS,0.0,2.0,2.0,2.0,0.0,0.0
7897223000596,CAIXA DE PASSAGEM 170X145X90mm,0.0,2.0,2.0,2.0,0.0,0.0
7898258651074,FIO FLEXÍVEL 2.5MM AZUL,-2.0,0.0,0.0,2.0,0.0,200.0
7898292937318,FITA AUTOADESIVA DRYWALL 90X48mm,0.0,2.0,2.0,2.0,0.0,0.0
7898941792053,RALO ROTATIVO AÇO INOX 10X10,0.0,2.0,2.0,2.0,0.0,0.0
7899612719256,BIT PHILLIPS,38.0,36.0,36.0,-2.0,0.0,0.0
7899825505899,PAINEL EMBUTIDO QUADRADO 3W 6500K LUZ BRANCA,-2.0,0.0,0.0,2.0,0.0,0.0
7899977303046,LÂMPADA IP65 6W ÂMBAR,0.0,2.0,2.0,2.0,0.0,0.0
7898031546924,MASSA ADESIVA 400G,1.8000000000000003,3.0,3.0,1.1999999999999997,0.0,0.0
